InventoryIndex,DemandIndex,ForecastIndex,ActionIndex,QValue
0,2,4,1,[ 0.         41.72577352  0.          0.          0.          0.        ]
0,2,4,2,[ 0.         0.        46.4910657  0.         0.         0.       ]
0,2,4,3,[ 0.          0.          0.         72.56022593  0.          0.        ]
0,2,4,4,[ 0.          0.          0.          0.         99.37913716  0.        ]
0,2,4,5,[ 0.         0.         0.         0.         0.        76.4560616]
0,2,5,0,[38.70679561  0.          0.          0.          0.          0.        ]
0,2,5,1,[ 0.         42.76419901  0.          0.          0.          0.        ]
0,2,5,2,[ 0.         0.        47.0549034  0.         0.         0.       ]
0,2,5,3,[ 0.          0.          0.         74.59742713  0.          0.        ]
0,2,5,4,[ 0.          0.          0.          0.         91.06019494  0.        ]
0,2,5,5,[ 0.          0.          0.          0.          0.         84.33592074]
0,2,6,0,[38.63458616  0.          0.          0.          0.          0.        ]
0,2,6,1,[ 0.        44.6054117  0.         0.         0.         0.       ]
0,2,6,2,[ 0.          0.         46.45816013  0.          0.          0.        ]
0,2,6,3,[ 0.          0.          0.         75.77020627  0.          0.        ]
0,2,6,4,[ 0.          0.          0.          0.         86.84379748  0.        ]
0,2,6,5,[ 0.          0.          0.          0.          0.         99.83958365]
0,2,7,0,[39.88206854  0.          0.          0.          0.          0.        ]
0,2,7,1,[ 0.         42.71517639  0.          0.          0.          0.        ]
0,2,7,2,[ 0.          0.         46.42537468  0.          0.          0.        ]
0,2,7,3,[ 0.          0.          0.         75.46668367  0.          0.        ]
0,2,7,4,[ 0.          0.          0.          0.         96.02079297  0.        ]
0,2,7,5,[ 0.          0.          0.          0.          0.         67.77836261]
0,3,0,0,[43.62205248  0.          0.          0.          0.          0.        ]
0,3,0,1,[ 0.         47.33269335  0.          0.          0.          0.        ]
0,3,0,2,[ 0.          0.         53.84847488  0.          0.          0.        ]
0,3,0,3,[ 0.          0.          0.         55.64137539  0.          0.        ]
0,3,0,4,[ 0.          0.          0.          0.         74.81043807  0.        ]
0,3,0,5,[ 0.          0.          0.          0.          0.         93.58884069]
