Time,Queue 0 Product 0,Queue 0 Product 1,Queue 1 Product 0,Queue 1 Product 1,Queue 2 Product 0,Queue 2 Product 1,Queue 3 Product 0,Queue 3 Product 1,Demand Queue Product 0,Demand Queue Product 1,Machine 1 Current Product,Machine 3 Current Product
341,142,50,1,0,2,0,0,0,150,50,0,None
342,142,50,1,0,2,0,0,0,150,50,0,None
343,142,50,1,0,2,0,0,0,150,50,0,None
344,142,50,1,0,2,0,0,0,150,50,0,None
345,142,50,1,0,2,0,0,0,150,50,0,None
346,142,50,1,0,2,0,0,0,150,50,0,None
347,142,50,1,0,2,0,0,0,150,50,0,None
348,142,50,0,0,3,0,0,0,150,50,0,None
349,142,50,0,0,3,0,0,0,150,50,0,None
350,142,50,0,0,3,0,0,0,150,50,0,None
351,142,50,0,0,3,0,0,0,150,50,0,None
352,142,50,0,0,3,0,0,0,150,50,0,None
353,142,50,0,0,3,0,0,0,150,50,0,None
354,142,50,0,0,3,0,0,0,150,50,0,None
355,142,50,0,0,3,0,0,0,150,50,0,None
356,142,50,0,0,3,0,0,0,150,50,0,None
357,142,50,0,0,3,0,0,0,150,50,0,None
358,142,50,0,0,3,0,0,0,150,50,0,None
359,142,50,0,0,3,0,0,0,150,50,0,None
360,142,50,0,0,3,0,0,0,150,50,0,None
361,142,50,0,0,3,0,0,0,150,50,0,None
362,142,50,0,0,3,0,0,0,150,50,0,None
363,142,50,0,0,3,0,0,0,150,50,0,None
364,142,50,0,0,3,0,0,0,150,50,0,None
365,142,50,0,0,3,0,0,0,150,50,0,None
366,142,50,0,0,3,0,0,0,150,50,0,None
367,142,50,0,0,3,0,0,0,150,50,0,None
368,142,50,0,0,3,0,0,0,150,50,0,None
369,142,50,0,0,3,0,0,0,150,50,0,None
370,142,50,0,0,3,0,0,0,150,50,0,None
371,142,50,0,0,3,0,0,0,150,50,0,None
372,142,50,0,0,3,0,0,0,150,50,0,None
373,142,50,0,0,3,0,0,0,150,50,0,None
374,142,50,0,0,3,0,0,0,150,50,0,None
375,142,50,0,0,3,0,0,0,150,50,0,None
376,142,50,0,0,3,0,0,0,150,50,0,None
377,142,50,0,0,3,0,0,0,150,50,0,None
378,142,50,0,0,0,0,0,0,150,50,0,None
379,142,50,0,0,0,0,0,0,150,50,0,None
380,142,50,0,0,0,0,0,0,150,50,0,None
381,142,50,0,0,0,0,0,0,150,50,0,None
382,142,50,0,0,0,0,0,0,150,50,0,None
383,142,50,0,0,0,0,0,0,150,50,0,None
384,142,50,0,0,0,0,0,0,150,50,0,None
385,142,50,0,0,0,0,0,0,150,50,0,None
386,142,50,0,0,0,0,0,0,150,50,0,None
387,142,50,0,0,0,0,0,0,150,50,0,None
388,142,50,0,0,0,0,0,0,150,50,0,None
389,142,50,0,0,0,0,0,0,150,50,0,None
390,142,50,0,0,0,0,0,0,150,50,0,None
391,142,50,0,0,0,0,0,0,150,50,0,None
392,142,50,0,0,0,0,0,0,150,50,0,None
393,142,50,0,0,0,0,0,0,150,50,0,None
394,142,50,0,0,0,0,0,0,150,50,0,None
395,142,50,0,0,0,0,0,0,150,50,0,None
396,142,50,0,0,0,0,0,0,150,50,0,None
397,142,50,0,0,0,0,0,0,150,50,0,None
398,142,50,0,0,0,0,0,0,150,50,0,None
399,142,50,0,0,0,0,0,0,150,50,0,None
400,142,50,0,0,0,0,0,0,150,50,0,None
401,142,50,0,0,0,0,0,0,150,50,0,None
402,142,50,0,0,0,0,0,0,150,50,0,None
403,142,50,0,0,0,0,0,0,150,50,0,None
404,142,50,0,0,0,0,0,0,150,50,0,None
405,142,50,0,0,0,0,0,0,150,50,0,None
406,142,50,0,0,0,0,0,0,150,50,0,None
407,142,50,0,0,0,0,0,0,150,50,0,None
408,142,50,0,0,0,0,0,0,150,50,0,None
409,142,50,0,0,0,0,0,0,150,50,0,None
410,142,50,0,0,0,0,0,0,150,50,0,None
411,142,50,0,0,0,0,0,0,150,50,0,None
412,142,50,0,0,0,0,0,0,150,50,0,None
413,142,50,0,0,0,0,0,0,150,50,0,None
414,142,50,0,0,0,0,0,0,150,50,0,None
415,142,50,0,0,0,0,0,0,150,50,0,None
416,142,50,0,0,0,0,0,0,150,50,0,None
417,142,50,0,0,0,0,0,0,150,50,0,None
418,142,50,0,0,0,0,0,0,150,50,0,None
419,142,50,0,0,0,0,0,0,150,50,0,None
420,142,50,0,0,0,0,0,0,150,50,0,None
421,142,50,0,0,0,0,0,0,150,50,0,None
422,142,50,0,0,0,0,0,0,150,50,0,None
423,142,50,0,0,0,0,0,0,150,50,0,None
424,142,50,0,0,0,0,0,0,150,50,0,None
425,142,50,0,0,0,0,0,0,150,50,0,None
426,142,50,0,0,0,0,0,0,150,50,0,None
427,142,50,0,0,0,0,0,0,150,50,0,None
428,142,50,0,0,0,0,0,0,150,50,0,None
429,142,50,0,0,0,0,0,0,150,50,0,None
430,142,50,0,0,0,0,0,0,150,50,0,None
431,142,50,0,0,0,0,0,0,150,50,0,None
432,142,50,0,0,0,0,0,0,150,50,0,None
433,142,50,0,0,0,0,0,0,150,50,0,None
434,142,50,0,0,0,0,0,0,150,50,0,None
435,142,50,0,0,0,0,0,0,150,50,0,None
436,142,50,0,0,0,0,0,0,150,50,0,None
437,142,50,0,0,0,0,0,0,150,50,0,None
438,142,50,0,0,0,0,0,0,150,50,0,None
439,142,50,0,0,0,0,0,0,150,50,0,None
440,142,50,0,0,0,0,0,0,150,50,0,None
441,142,50,0,0,0,0,0,0,150,50,0,None
442,142,50,0,0,0,0,0,0,150,50,0,None
443,142,50,0,0,0,0,0,0,150,50,0,None
444,142,50,0,0,0,0,0,0,150,50,0,None
445,142,50,0,0,0,0,0,0,150,50,0,None
