InventoryIndex,DemandIndex,ForecastIndex,ActionIndex,QValue
1,1,2,2,105.49999999971068
1,1,2,3,116.99999999989127
1,1,2,4,128.49999999996396
1,1,2,5,139.9999999999995
1,1,3,0,82.49999999988627
1,1,3,1,93.99999999997243
1,1,3,2,105.49999999999218
1,1,3,3,116.99999999999956
1,1,3,4,128.49999999998164
1,1,3,5,139.9999999999995
1,1,4,0,82.49999999999956
1,1,4,1,93.99999999994138
1,1,4,2,105.4999999999631
1,1,4,3,116.9999999994395
1,1,4,4,128.49999999998104
1,1,4,5,139.9999999999995
1,1,5,0,82.49999999999956
1,1,5,1,93.99999999995391
1,1,5,2,105.49999999999956
1,1,5,3,116.9999999999995
1,1,5,4,128.4999999999283
1,1,5,5,139.9999999999995
1,1,6,0,82.4999999994787
1,1,6,1,93.99999999999945
1,1,6,2,105.49999999986034
1,1,6,3,116.99999999998391
1,1,6,4,128.4999999999593
1,1,6,5,139.9999999999995
1,1,7,0,82.49999999999956
1,1,7,1,93.99999999994664
1,1,7,2,105.49999999991117
1,1,7,3,116.99999999998596
1,1,7,4,128.4999999999383
1,1,7,5,139.9999999999995
1,2,0,0,87.49999999997748
1,2,0,1,91.49999999998133
1,2,0,2,102.9999999999628
1,2,0,3,114.49999999993042
1,2,0,4,125.99999999995829
1,2,0,5,137.4999999999995
1,2,1,0,87.4999999999995
1,2,1,1,91.49999999975044
1,2,1,2,102.99999999972361
1,2,1,3,114.49999999979646
1,2,1,4,125.99999999999956
1,2,1,5,137.4999999999995
1,2,2,0,87.49999999998053
1,2,2,1,91.49999999999956
1,2,2,2,102.9999999999208
1,2,2,3,114.49999999998609
1,2,2,4,125.99999999999956
1,2,2,5,137.4999999999995
1,2,3,0,87.49999999999956
1,2,3,1,91.49999999998424
1,2,3,2,102.99999999997088
1,2,3,3,114.49999999993048
1,2,3,4,125.99999999999956
1,2,3,5,137.4999999999995
1,2,4,0,87.4999999998643
1,2,4,1,91.49999999999956
1,2,4,2,102.99999999998182
1,2,4,3,114.49999999999346
1,2,4,4,125.99999999985091
1,2,4,5,137.4999999999995
1,2,5,0,87.49999999999898
1,2,5,1,91.49999999995256
1,2,5,2,102.99999999999956
1,2,5,3,114.49999999999956
1,2,5,4,125.99999999957083
1,2,5,5,137.4999999999995
1,2,6,0,87.4999999999992
1,2,6,1,91.49999999996957
1,2,6,2,102.9999999999932
1,2,6,3,114.49999999999956
1,2,6,4,125.9999999996591
1,2,6,5,137.4999999999995
1,2,7,0,87.49999999998136
1,2,7,1,91.4999999999682
1,2,7,2,102.99999999999883
1,2,7,3,114.49999999999086
1,2,7,4,125.99999999992922
1,2,7,5,137.4999999999995
1,3,0,0,92.49999999999956
1,3,0,1,96.4999999999706
1,3,0,2,100.49999999960264
1,3,0,3,111.99999999766258
1,3,0,4,123.49999999976225
1,3,0,5,134.9999999999995
1,3,1,0,92.4999999999914
1,3,1,1,96.49999999999956
1,3,1,2,100.49999999995653
1,3,1,3,111.99999999937626
1,3,1,4,123.49999999755474
1,3,1,5,134.9999999999995
1,3,2,0,92.49999999985121
1,3,2,1,96.49999999998407
1,3,2,2,100.49999999999834
1,3,2,3,111.99999999992019
1,3,2,4,123.49999999999956
1,3,2,5,134.9999999999995
1,3,3,0,92.499999999951
1,3,3,1,96.49999999997546
1,3,3,2,100.49999999995639
1,3,3,3,111.9999999999595
1,3,3,4,123.49999999996359
1,3,3,5,134.9999999999995
1,3,4,0,92.49999999999956
1,3,4,1,96.4999999999936
1,3,4,2,100.49999999990271
1,3,4,3,111.99999999998403
1,3,4,4,123.49999999991046
1,3,4,5,134.9999999999995
1,3,5,0,92.4999999999936
1,3,5,1,96.49999999998552
1,3,5,2,100.49999999999956
1,3,5,3,111.99999999998226
1,3,5,4,123.49999999999956
1,3,5,5,134.9999999999995
1,3,6,0,92.49999999999687
1,3,6,1,96.49999999996078
1,3,6,2,100.49999999999956
1,3,6,3,111.99999999999007
1,3,6,4,123.49999999983083
1,3,6,5,134.9999999999995
1,3,7,0,92.49999999999956
1,3,7,1,96.49999999999626
1,3,7,2,100.49999999970652
1,3,7,3,111.99999999998909
1,3,7,4,123.49999999977489
1,3,7,5,134.9999999999995
1,4,0,0,97.49999999999956
1,4,0,1,101.4999999999233
1,4,0,2,105.49999999999407
1,4,0,3,109.4999999999539
1,4,0,4,120.99999999998893
1,4,0,5,132.4999999999995
1,4,1,0,97.4999999997877
1,4,1,1,101.49999999987509
1,4,1,2,105.49999999999102
1,4,1,3,109.49999999999956
1,4,1,4,120.99999999996625
1,4,1,5,132.4999999999995
1,4,2,0,97.49999999999956
1,4,2,1,101.49999999919166
1,4,2,2,105.49999999999947
1,4,2,3,109.49999999994603
1,4,2,4,120.99999999941569
1,4,2,5,132.4999999999995
1,4,3,0,97.4999999999995
1,4,3,1,101.49999999999724
1,4,3,2,105.49999999998313
1,4,3,3,109.49999999998303
1,4,3,4,120.99999999999956
1,4,3,5,132.4999999999995
1,4,4,0,97.49999999999956
1,4,4,1,101.49999999998671
1,4,4,2,105.49999999997252
1,4,4,3,109.4999999999047
1,4,4,4,120.99999999930932
1,4,4,5,132.4999999999995
1,4,5,0,97.49999999999956
1,4,5,1,101.49999999999784
1,4,5,2,105.49999999998562
1,4,5,3,109.49999999968891
1,4,5,4,120.99999999996402
1,4,5,5,132.4999999999995
1,4,6,0,97.49999999992905
1,4,6,1,101.49999999999956
1,4,6,2,105.49999999999449
1,4,6,3,109.4999999971792
1,4,6,4,120.9999999994666
1,4,6,5,132.4999999999995
1,4,7,0,97.49999999998914
1,4,7,1,101.49999999999152
1,4,7,2,105.49999999970763
1,4,7,3,109.49999999998937
1,4,7,4,120.99999999999956
1,4,7,5,132.4999999999995
1,5,0,0,102.49999999999956
1,5,0,1,106.4999999999606
1,5,0,2,110.4999999992728
1,5,0,3,114.49999999998012
1,5,0,4,118.49999999999956
1,5,0,5,129.9999999999995
1,5,1,0,102.49999999999956
1,5,1,1,106.49999999998857
1,5,1,2,110.49999999999956
1,5,1,3,114.49999999973129
1,5,1,4,118.49999999947923
1,5,1,5,129.9999999999995
1,5,2,0,102.49999999994321
1,5,2,1,106.49999999998846
1,5,2,2,110.49999999999956
1,5,2,3,114.49999999988162
1,5,2,4,118.49999999998387
1,5,2,5,129.9999999999995
1,5,3,0,102.49999999997993
1,5,3,1,106.49999999999956
1,5,3,2,110.49999999997075
1,5,3,3,114.49999999993766
1,5,3,4,118.49999999979822
1,5,3,5,129.9999999999995
1,5,4,0,102.49999999999956
1,5,4,1,106.49999999997878
1,5,4,2,110.49999999981031
1,5,4,3,114.49999999907928
1,5,4,4,118.49999999999956
1,5,4,5,129.9999999999995
1,5,5,0,102.49999999999956
1,5,5,1,106.49999999932744
1,5,5,2,110.49999999980459
1,5,5,3,114.49999999998921
1,5,5,4,118.49999999989058
1,5,5,5,129.9999999999995
1,5,6,0,102.49999999999956
1,5,6,1,106.4999999999749
1,5,6,2,110.49999999999683
1,5,6,3,114.49999999965951
1,5,6,4,118.4999999999975
1,5,6,5,129.9999999999995
1,5,7,0,102.49999999999956
1,5,7,1,106.49999999999828
1,5,7,2,110.49999999990668
1,5,7,3,114.49999999996488
1,5,7,4,118.49999999999886
1,5,7,5,129.9999999999995
1,6,0,0,107.49999999999956
1,6,0,1,111.4999999999722
1,6,0,2,115.4999999998582
1,6,0,3,119.49999999996841
1,6,0,4,123.49999999999956
1,6,0,5,127.49999999999956
1,6,1,0,107.49999999999956
1,6,1,1,111.49999999953558
1,6,1,2,115.49999999999956
1,6,1,3,119.4999999999728
1,6,1,4,123.4999999999986
1,6,1,5,127.49999999999956
1,6,2,0,107.4999999999811
1,6,2,1,111.49999999998987
1,6,2,2,115.49999999999956
1,6,2,3,119.49999999997574
1,6,2,4,123.49999999999956
1,6,2,5,127.49999999999956
1,6,3,0,107.49999999965264
1,6,3,1,111.49999999975691
1,6,3,2,115.49999999999956
1,6,3,3,119.49999999998307
1,6,3,4,123.49999999994728
1,6,3,5,127.49999999999956
1,6,4,0,107.49999999999956
1,6,4,1,111.49999999985283
1,6,4,2,115.49999999769366
1,6,4,3,119.49999999999956
1,6,4,4,123.49999999994591
1,6,4,5,127.49999999999956
1,6,5,0,107.49999999999956
1,6,5,1,111.49999999967272
1,6,5,2,115.49999999999211
1,6,5,3,119.49999999950157
1,6,5,4,123.49999999989834
1,6,5,5,127.49999999999956
1,6,6,0,107.49999999999956
1,6,6,1,111.49999999997702
